[2024-03-04 15:33:41,755: INFO: main: Welcome to out custom log]
[2024-03-05 11:26:50,722: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-03-05 11:26:50,724: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-05 11:26:50,726: INFO: common: created directory at: artifacts]
[2024-03-05 11:27:51,449: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-03-05 11:27:51,451: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-05 11:27:51,451: INFO: common: created directory at: artifacts]
[2024-03-05 11:27:51,452: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-05 11:28:22,541: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-03-05 11:28:22,543: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-05 11:28:22,544: INFO: common: created directory at: artifacts]
[2024-03-05 11:28:22,545: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-05 11:30:34,132: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-03-05 11:30:34,133: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-05 11:30:34,134: INFO: common: created directory at: artifacts]
[2024-03-05 11:30:34,135: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-05 11:30:34,135: INFO: 3901570686: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-05 11:30:39,490: INFO: 3901570686: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip ]
[2024-03-05 11:31:31,237: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-03-05 11:31:31,238: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-05 11:31:31,239: INFO: common: created directory at: artifacts]
[2024-03-05 11:31:31,239: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-05 11:31:31,240: INFO: 347908917: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-05 11:31:35,638: INFO: 347908917: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip ]
[2024-03-05 11:31:55,135: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-03-05 11:31:55,136: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-05 11:31:55,137: INFO: common: created directory at: artifacts]
[2024-03-05 11:31:55,138: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-05 11:31:55,138: INFO: 4244723930: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-05 11:31:59,647: INFO: 4244723930: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip ]
[2024-03-05 11:56:05,392: INFO: main:  >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-03-05 11:56:05,394: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-03-05 11:56:05,394: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-05 11:56:05,394: INFO: common: created directory at: artifacts]
[2024-03-05 11:56:05,394: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-05 11:56:05,394: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-05 11:56:14,885: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip ]
[2024-03-05 11:56:15,391: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x=============x]
